DayOfWeek,Location,Temperature,#retweets,#followers,label
[ 0.  0.  0.  0.  1.  0.  0.],[ 0.  1.  0.],20.945,0,290,Wow i love this song https://t.co/ulifcAJQNA
[ 0.  0.  0.  0.  1.  0.  0.],[ 0.  1.  0.],20.945,0,1416,#Repost @the86ers_brand (get_repost) ・・・ This is your personal invitation! Come out and support… https://t.co/jtwEoDIo7a
[ 0.  0.  0.  0.  1.  0.  0.],[ 0.  1.  0.],20.945,0,894,Shoots today  for radium_media 📸📸  • @mr_hugh_prod  @thekdelife  @Radium_Media  @Radium_Media… https://t.co/irNXWEJk17
[ 0.  0.  0.  0.  1.  0.  0.],[ 0.  1.  0.],20.945,0,596,There is hope... this tweet sounds so nice I had to quote it twice lmao https://t.co/zFO3n0RmWD
[ 0.  0.  0.  0.  1.  0.  0.],[ 0.  1.  0.],20.945,0,87,"Not gonna snow ya. Liked it, didn’t love it, which I wanted to obviously. I’d read WB mandated a… https://t.co/sufN06Wp3A"
[ 0.  0.  0.  0.  1.  0.  0.],[ 0.  1.  0.],20.945,0,100,@HowToGetAwayABC got me f****’d up! 🤯😳😭😭😭😭😭 #winterfinale #HTGAWM Jan. 18th seems so far!
[ 0.  0.  0.  0.  1.  0.  0.],[ 0.  1.  0.],20.945,0,2356,"Kings Jokinen postgame,  “I think we have to find a way to be a bit more desperate and find a way to win these game… https://t.co/3soR0BjBQa"
[ 0.  0.  0.  0.  1.  0.  0.],[ 0.  1.  0.],20.945,0,656,Crying because I have to go to an event for work while my boyfriend works on the Miguel single release. When you bo… https://t.co/gBlw6EX4NI
[ 0.  0.  0.  0.  1.  0.  0.],[ 0.  1.  0.],20.945,0,48,@realDonaldTrump offer up your resignation if @alfranken does the same or profess yourself to be a hypocrite #ThursdayThoughts #RespectWomen
[ 0.  0.  0.  0.  1.  0.  0.],[ 0.  1.  0.],20.945,0,310,@Zac_Posen @ProjectRunway I'm about to find out!
[ 0.  0.  0.  0.  1.  0.  0.],[ 0.  1.  0.],20.945,0,9939,"No excuse not to have a database of roarers available to public in this day and age, and yet only seen in Hong Kong. https://t.co/y10dYH4vJQ"
[ 0.  0.  0.  0.  1.  0.  0.],[ 0.  1.  0.],20.945,0,3620,changkyun just teared up https://t.co/0K1hiCIleb
[ 0.  0.  0.  0.  1.  0.  0.],[ 0.  1.  0.],20.945,0,2587,Stay Low is out now!!!!! CDs shipping soon! 📬  @NuAgeKent @chstrwtsn https://t.co/DCDGTWvFkO https://t.co/8Mvsya4JqR
[ 0.  0.  0.  0.  1.  0.  0.],[ 0.  1.  0.],20.945,0,410,@Magic20099 They were! And I feel like this is the first finale where you just really couldn't expect anything beca… https://t.co/pt8k7iMVcg
[ 0.  0.  0.  0.  1.  0.  0.],[ 0.  1.  0.],20.945,0,118,$450 mil for the male mona lisa
[ 0.  0.  0.  0.  1.  0.  0.],[ 0.  0.  1.],16.439999999999998,0,542,"@Queer_Trek In a Muppet reality, Cardi-Grouch would be Mr. Flirt."
[ 0.  0.  0.  0.  1.  0.  0.],[ 0.  1.  0.],20.945,0,86,The one to watch! https://t.co/1enmydjvV8
[ 0.  0.  0.  0.  1.  0.  0.],[ 0.  1.  0.],20.945,0,9,@CigaVapp this  is our new launched e juice bottle.many people who make small amounts of e-liquid at home tend to c… https://t.co/LaeyWRq431
[ 0.  0.  0.  0.  1.  0.  0.],[ 0.  1.  0.],20.945,0,829,This makes me waaaay too happy  https://t.co/yzlsSZv9Qi
[ 0.  0.  0.  0.  1.  0.  0.],[ 0.  1.  0.],20.945,0,1948,OH NO 😔😔😔 https://t.co/T32XO5z8YT
