DayOfWeek,Location,Temperature,#retweets,#followers,label
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,174,CITY forever! Rest easy coach B thanks for everything @ City College of San Francisco https://t.co/BDTvcvepH2
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],14.2,0,1292,"I'm at @TheTechMuseum of Innovation in San Jose, CA https://t.co/CUeV0OdYdL"
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,19119,@BDPeacock next to preview Jimmy G’s first 49er start
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],14.2,0,4287,Watching a movie on @CMT about a baby that was born at Walmart...
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,24,We in the streets 🦍🌁 streetsofsf #agameoftones #moodygrams #way2ill  #beautifuldestinations… https://t.co/7YcvUmjLGr
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],14.2,0,1883,@jccaylen the first shirt 😍 spreading love with every step I take
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,1975,@eileenmcarey @philipdalidakis @__picaro8 @yassmin_a @sw @StartupVic Yes they are using tax money https://t.co/lNfQifnAwy
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],14.2,0,2534,"Again, the favor of God does not rest with the priest, nor the Levite, but with the Samaritan. Welcome to the story… https://t.co/boWoyZa02o"
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],14.2,0,1883,@lindsaydemeola i had to make this for you 😂 100% nothing but facts and not even the littlest bit sorry💕 https://t.co/VqPheD54mR
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],14.2,0,246,@caitylotz gave me a @shethority for my birthday!! #HVFFSanJose https://t.co/K0yzCZfWHF
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,355,i can’t handle all the cute that is Penny https://t.co/H6uZfTKXoZ
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,10232,"@dennybritz @DrLukeOR @goodfellow_ian @kaggle @stanfordnlp @CaimingXiong @hllo_wrld Oh, final bit, for certain task… https://t.co/3bY8Eb4yBL"
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,514,Having fun at https://t.co/hWt8m7eyHn with Jasmine Johnson! https://t.co/WpsqBNvVjI #KhanAcademyMarketing
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],,0,4109,It was hard work decorating our palm trees during a cool 60 degree December afternoon @ Mountain… https://t.co/Hx3nIm4Dot
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,395,We're #hiring! Read about our latest #job opening here: Maintenance Technician - https://t.co/QkgHs82RSI #AvalonBay… https://t.co/dCNcNLOHDA
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],14.2,0,990,I got that reddi whip
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],15.31,0,3057,@suckmyd_aniel What does getting roped mean?
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,309,"Wisconsin’s coach looks like the Platonic ideal form of Midwestern Dad.  He is all of our fathers, like the Greek g… https://t.co/jPsQMyZIAd"
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,14027,If I know one thing about Santa Claus.. it's that he definitely wears jeans. #ymh #UglyChristmasSweater… https://t.co/nXTHavH4Cl
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],8.67,0,507,Bad bitch bad bitch she a bad bitch
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],8.67,0,2386,https://t.co/ZO7QvCqb9s interview in Glasgow
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],14.2,0,91,I wanna go to Poptopia tonight.....
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],14.2,0,371,We're #hiring! Read about our latest #job opening here: Premier Banker Unlicensed 1 - https://t.co/GjUkdI2jdi… https://t.co/ozAgDi3XSy
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,824,@rideact no transbay service in or out of SF today? not a single bus at the transbay terminal
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],14.2,0,82,Your girls just scored @thegreatkhalid 's meet and greets https://t.co/ARMJ49QEZa
