DayOfWeek,Location,Temperature,#retweets,#followers,label
[ 1.  0.  0.  0.  0.  0.  0.],[ 0.  1.  0.],21.725,0,210,Omggggg do you mean #WorldwideHandsomeDay? It’s supposed to be a birthday hashtag for @BTS_twt Jin pero daming naki… https://t.co/6E0NgpRL9m
[ 1.  0.  0.  0.  0.  0.  0.],[ 0.  1.  0.],21.725,0,1582,Set list for final night of @toriamos #NativeInvader tour in LA!  https://t.co/ao1FcvcE3t
[ 1.  0.  0.  0.  0.  0.  0.],[ 0.  0.  1.],14.030000000000001,0,1239,There are really niggas out here like this🤦🏽‍♂️🤦🏽‍♂️ smh https://t.co/hEbygjX85c
[ 1.  0.  0.  0.  0.  0.  0.],[ 0.  1.  0.],21.725,0,2289,Sally Hawkins watches rain drops race across a bus window. https://t.co/3mRna8YhSp
[ 1.  0.  0.  0.  0.  0.  0.],[ 0.  1.  0.],21.725,0,2288,housemate bonding night
[ 1.  0.  0.  0.  0.  0.  0.],[ 0.  1.  0.],21.725,0,701,Y'all are the cutest wth https://t.co/peQuqg0VEK
[ 1.  0.  0.  0.  0.  0.  0.],[ 0.  1.  0.],21.725,0,204,#Dead @ Wandering Oaken's Trading Post https://t.co/OEqhWSedUV
[ 1.  0.  0.  0.  0.  0.  0.],[ 0.  1.  0.],21.725,0,890,"“Puppies are forever, not just for Christmas”  JUST TAKE ALL THE GRAMMYS, @Sia. https://t.co/E3fKxWdp8o"
[ 1.  0.  0.  0.  0.  0.  0.],[ 0.  1.  0.],21.725,0,701,Im going to be bald by the end of the quarter
[ 1.  0.  0.  0.  0.  0.  0.],[ 0.  1.  0.],21.725,0,162,@g_uunit Idk just dm the pic and I’ll let you know 🤔
[ 1.  0.  0.  0.  0.  0.  0.],[ 0.  1.  0.],21.725,0,1465,"I'm at Greystone Sundays at Nightingale in West Hollywood, CA https://t.co/ZWwNAohC34"
[ 1.  0.  0.  0.  0.  0.  0.],[ 0.  1.  0.],21.725,0,3619,BITCH WHAT https://t.co/6DRDobPWQ1
[ 1.  0.  0.  0.  0.  0.  0.],[ 0.  1.  0.],21.725,0,206,I just want to remind you that if you can see this tweet you are ok 👌🏽
[ 1.  0.  0.  0.  0.  0.  0.],[ 0.  1.  0.],21.725,0,1580,I have this habit of just sitting in car for like 20 minutes after I get home
[ 1.  0.  0.  0.  0.  0.  0.],[ 0.  1.  0.],21.725,0,1389,@kgothatso__ appreciate the fllw blessing ⭐️💯💨
[ 1.  0.  0.  0.  0.  0.  0.],[ 0.  1.  0.],21.725,0,627,This some other shit 😂😂 https://t.co/80nxIVktA9
[ 1.  0.  0.  0.  0.  0.  0.],[ 0.  1.  0.],21.725,0,655,"Life can be so stressful, overwhelming &amp; it can really drive you mentally ill. I'm sorry to those who have lost the… https://t.co/QoLyPuZPmD"
[ 1.  0.  0.  0.  0.  0.  0.],[ 0.  1.  0.],21.725,0,6326,WE ALL JUST WANNA WIN WITH SOMEBODY WORTH WINNING WITH
[ 1.  0.  0.  0.  0.  0.  0.],[ 0.  1.  0.],21.725,0,709,@WStuartross omg i completely forgot about that show until just now. iconic.
[ 1.  0.  0.  0.  0.  0.  0.],[ 0.  1.  0.],21.725,0,457,Ill join https://t.co/gFY2pftoi0
[ 1.  0.  0.  0.  0.  0.  0.],[ 0.  1.  0.],21.725,0,84,one of those nights 😕
