DayOfWeek,Location,Temperature,#retweets,#followers,label
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],22.43,0,112,I get it now. #Trump is doing this so that Putin can take over as the mediator in the Middle East https://t.co/UQqpCckt1e
[ 0.  0.  1.  0.  0.  0.  0.],[ 1.  0.  0.],16.46,0,3175,I was a hell of a lot more worried about the IDF than anyone else in that situation
[ 0.  0.  1.  0.  0.  0.  0.],[ 1.  0.  0.],16.46,0,716,"@PTFrancisco31 @TPM Oh, so that makes it right to hang around the mall trolling teen-agers?"
[ 0.  0.  1.  0.  0.  0.  0.],[ 1.  0.  0.],16.46,0,534,"Join the Whole Foods Market team! See our latest #job opening here: https://t.co/WzD2YmZpXs #Retail #SanFrancisco, CA #Hiring #CareerArc"
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],22.43,0,150,"Interested in a #job in #SanJose, CA? This could be a great fit: https://t.co/jKKzqwSrgF #SocialSciences #Hiring #CareerArc"
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],22.43,0,850,Niggas bootlegging Clipper cards now?????? 😭😭😭😭😭
[ 0.  0.  1.  0.  0.  0.  0.],[ 1.  0.  0.],16.46,0,520,We're #hiring! Click to apply: Business Initiatives Consultant 3 - Middle Market Region Sales Execution Consultant… https://t.co/PvaP3OvCbg
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],16.46,0,1207,Im definitely over work already. I can’t wait to get off...#WorkLife
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],17.18,0,17031,@awbjs @ryanflorence @sarah_edo @wycats I highly recommend that people getting started out get a CS degree. But not… https://t.co/wYaG184iIf
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],22.43,0,112,"Here it comes, Trumpsters https://t.co/S6gJkN1BuX"
[ 0.  0.  1.  0.  0.  0.  0.],[ 1.  0.  0.],16.46,0,1482,You a weird bitch https://t.co/aSBWlRm1tV
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],16.87,0,1057,eating baklava at work for free wyd
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],22.43,0,983,Absolutely cannnt wait to go to Bohol 😭
[ 0.  0.  1.  0.  0.  0.  0.],[ 1.  0.  0.],16.46,0,356,580 47th Avenue https://t.co/21frI9sxJA
[ 0.  0.  1.  0.  0.  0.  0.],[ 1.  0.  0.],16.46,0,604,Niner fan's just embarrassed themselves today
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],16.46,0,104,@JtheDrizzle Time to build the collection! Next top Joker 3s! 😈🤡
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],22.43,0,1096,"And, I Blocked My Face At The End There And Didn't Mean To!:} But, There You Go:) https://t.co/ZB8BgkKPKV"
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],21.63,0,580,@marissajaramilo i love you more
[ 0.  0.  1.  0.  0.  0.  0.],[ 1.  0.  0.],16.46,0,737,I really hate being sick
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],22.43,0,656,Happy Birthday  @Rillaas 😊🎈
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],22.43,0,593,Can you recommend anyone for this #job? Principal Software Engineer (Cloud Engineer) - https://t.co/esuQ23d0ru… https://t.co/VYDqzD1UYl
[ 0.  0.  1.  0.  0.  0.  0.],[ 1.  0.  0.],16.46,0,1073,We're gonna over analyze the shit out of everything rose does because of how walker left https://t.co/jkoOu9ZVEp
[ 0.  0.  1.  0.  0.  0.  0.],[ 1.  0.  0.],16.46,0,1564,"Consulting TAs over SFDC should know how to debug, design codebase (incl integrations), &amp; build scalable solutions"
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],22.43,0,348,"We're #hiring! Read about our latest #job opening here: Teller - https://t.co/DLE1s8g05h #CustomerService #SanJose, CA #CareerArc"
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],17.18,0,334,Literally 5 min drive lol the value is so dif for being only 5 min away dont yall think?  Mostly because that area… https://t.co/v4oQ7NuTLX
[ 0.  0.  1.  0.  0.  0.  0.],[ 1.  0.  0.],16.46,0,164,What is the best thing to leave as a comment on a photo
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],21.63,0,382,"@pilliarscreatio Apollo 8 Borman,Lovell,Anders were Time magazine's men of the year.Television broadcast, Christmas… https://t.co/sC3pzocWsg"
[ 0.  0.  1.  0.  0.  0.  0.],[ 1.  0.  0.],16.46,0,11,Dude you  should change your name.I  DO believe we're the SUPREME BEINGS THE  WHITE RACE.But Niggers and cops are r… https://t.co/XjygCgY2VL
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],22.43,0,428,I’m kinda glad I️ don’t go to office hours that often with my philosophy professor. I️ go in to ask a quick questio… https://t.co/wIks0JIMBo
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],22.43,0,422,I woke up angry and my day just stared... PMS is real
[ 0.  0.  1.  0.  0.  0.  0.],[ 1.  0.  0.],16.46,0,1563,I am SO in ❤️ w @DUALIPA  #stillgay https://t.co/PqaU7t64Hf
[ 0.  0.  1.  0.  0.  0.  0.],[ 1.  0.  0.],16.46,0,2212,"@danikaharrod My SO gets tons of creepy DMs,slightly more subtle than this but basically the same stuff in a more “… https://t.co/IvBYDNMWsu"
[ 0.  0.  1.  0.  0.  0.  0.],[ 1.  0.  0.],16.46,0,1413,Look who we found at the City Hall Pop-Up Shop! Drop by and get some unique locally made gifts! @mayoredlee https://t.co/qqrPOXh6IC
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],21.63,0,1597,"@ral1 @hannigan Oh, you can show ROI. You just might have to change your perception of what really is a ""return."""
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],21.63,0,6021,@GrnLtrn06 @jenniferpierson @303_Kelly @IanStClair @Broncos @CUBoulder @johnelway They planned to play Paxton Lynch… https://t.co/fqmEDXRXtf
[ 0.  0.  1.  0.  0.  0.  0.],[ 1.  0.  0.],16.46,0,604,"Pretty soon it won't be no more football, the way this shit is goin"
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],22.43,0,883,Aloe Vera sentences to heal the scars
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],22.43,0,1791,@weheartgames @360iDev Yup. I figured us CitySlickers wouldn’t see ya for a bit. I reckon the stagecoach only passe… https://t.co/cAxfutEzEW
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],16.87,0,220,"Dom Hofmann, @dhof is now trending in #Oakland  https://t.co/nMsm6ATXxp https://t.co/iZ0dOQvevj"
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],16.87,0,220,'commute' is now trending in #Oakland  https://t.co/OfPCBYnMjk https://t.co/LdJDxc5Sb9
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],22.43,0,506,@joespagnuolo @instagram Omg wut. So over it
[ 0.  0.  1.  0.  0.  0.  0.],[ 1.  0.  0.],16.46,0,381,We're #hiring! Read about our latest #job opening here: Operational Risk Consultant 4 - https://t.co/at2CURVoP5 #IT… https://t.co/cisQW79TbS
[ 0.  0.  1.  0.  0.  0.  0.],[ 1.  0.  0.],16.46,0,519,@nkfarouq Haven’t had the heart to tell my Tata yet 💔
[ 0.  0.  1.  0.  0.  0.  0.],[ 1.  0.  0.],16.46,0,1563,"Lady, you are a lair. #Gloria"
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],6.4399999999999995,0,803,@ummdinosaur It’s LA. There’s probably a Starbucks around the next bend.
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],22.43,0,251,"If you're looking for work in #SanJose, CA, check out this #job: https://t.co/ONOoVqpYcL #Cosmetology #Hiring #CareerArc"
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],21.63,0,6021,@MileHighGuyy @SchwindamanMark @CoreyDeiterman @MileHighReport I think that Corey was kidding.
[ 0.  0.  1.  0.  0.  0.  0.],[ 1.  0.  0.],16.46,0,3724,@LeighGuinevere @fnp129_linda Oh sorry lol. I guess we do tend to be as serious as a heart attack around here. Lol patriot slapping herself
[ 0.  0.  1.  0.  0.  0.  0.],[ 1.  0.  0.],16.46,0,1386,@Moonshine_Fox @Spotliz03 @NASAJPL @aryanrahimi1 @MarsCuriosity @CassiniSaturn @NASAJuno Rhetorical devices shouldn… https://t.co/hULWG0nVnR
[ 0.  0.  1.  0.  0.  0.  0.],[ 1.  0.  0.],16.46,0,4817,This is so annoying. Every damn time. https://t.co/I7MSXKRsgy
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],16.87,0,225,"Can you recommend anyone for this #job in #Oakland, CA? https://t.co/2pgrYNMPlH #edchat #Education #Hiring"
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],21.965,0,168362,"I️ got some switch codes for the end is nigh... thinking about doing random quiz questions later to give them away,… https://t.co/9SLTmpdknO"
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],22.43,0,202,"See our latest #SanJose, California #job and click to apply: Competitive Pay-Caregivers Needed!! -… https://t.co/yXoxLDpJ3b"
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],22.43,0,185,@seshadrichari You told that Temple was constructed in Sung dynasty and there was no Islam 1400 years back. OK what… https://t.co/4gUYKfwL6a
[ 0.  0.  1.  0.  0.  0.  0.],[ 1.  0.  0.],16.46,0,594,Daddy always told me don’t join no gang and don’t be no punk and I ain’t never been either
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],22.43,0,1016,Nobody understands how much I can't stand CR7. Fucking crybaby
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],21.965,0,242,I wanna go the city
[ 0.  0.  1.  0.  0.  0.  0.],[ 1.  0.  0.],16.46,0,87,"Lisa Bartleson, ""Sky Gradient No. 7,"" 2014, Cast Bio-Resin and Natural Pigments, 52 x 52 x 3 Inches. More:… https://t.co/NAAnFU0uns"
[ 0.  0.  1.  0.  0.  0.  0.],[ 1.  0.  0.],16.46,0,813,bring it on stress. im bouta beat yo ass
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],21.63,0,841,I’ll believe it when I see it! https://t.co/fGA4mKvlu8
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],22.43,0,1990,Box Logo L tomorrow
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],16.87,0,426,"Can you recommend anyone for this #job in #Oakland, CA? https://t.co/46ybl02Xg2 #Clerical #Hiring #CareerArc"
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],22.43,0,850,False. I don’t fw him but misrepresenting what happened is bad for everybody https://t.co/g38iJOTnZM
[ 0.  0.  1.  0.  0.  0.  0.],[ 1.  0.  0.],16.46,0,279,@_sarahismee: I'm so broke  *while playing animal crossing* *checks her animal crossing*  @_sarahismee: I mean in r… https://t.co/ZttUimbbiH
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],17.18,0,334,I have actually told my friends to move and rent out their houses so they earn money from renting since they all ow… https://t.co/oC16t8XvuX
[ 0.  0.  1.  0.  0.  0.  0.],[ 1.  0.  0.],16.46,0,1291,Headlights (@Headboggle / @aurorarising) live debut at Peacock Lounge 11/15/17  https://t.co/2MvCbhHxaB  Camera by… https://t.co/pF9JWMBfdE
[ 0.  0.  1.  0.  0.  0.  0.],[ 1.  0.  0.],16.46,0,3175,She said always remember never to trust me she said that the first night that she met me said there’s gonna be a ti… https://t.co/qTXSBAzVYm
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],12.879999999999999,0,367,time is the most important thing to me.
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],22.43,0,828,Remember no stream today! Love all y’all will be reworking the schedule Saturday afternoon.  Go watch some amazing… https://t.co/buSKcNFQKe
[ 0.  0.  1.  0.  0.  0.  0.],[ 1.  0.  0.],16.46,0,273,"Filed under: ""well, no shit."" https://t.co/W5aPsoFdsm"
[ 0.  0.  1.  0.  0.  0.  0.],[ 1.  0.  0.],16.46,0,534,"We're #hiring! Click to apply: JOIN OUR TALENT NETWORK - https://t.co/djhYKhcqPL #Retail #SanFrancisco, CA #Job #Jobs #CareerArc"
[ 0.  0.  1.  0.  0.  0.  0.],[ 1.  0.  0.],16.46,0,478,We're #hiring! Click to apply: Accounting Manager - Fund of Funds - https://t.co/uo5k4OC8YZ #Accounting… https://t.co/5BzxeGoZQg
[ 0.  0.  1.  0.  0.  0.  0.],[ 1.  0.  0.],16.46,0,911,@VainandAble As opposed to?
