DayOfWeek,Location,Temperature,#retweets,#followers,label
[ 0.  0.  0.  0.  1.  0.  0.],[ 1.  0.  0.],13.26,0,1745,i can’t argue this one https://t.co/h8ne5QL5w9
[ 0.  0.  0.  0.  1.  0.  0.],[ 0.  0.  1.],14.11,0,747,"I can’t count the number of times I’ve said sorry for no reason, and now I’m not. 😎 enjoy our hand drawn shirts! 👕🖊… https://t.co/TIzrCaYvAa"
[ 0.  0.  0.  0.  1.  0.  0.],[ 0.  0.  1.],19.505,0,446,Thanks for being so awesome @rockwithjuno 👌🏻 https://t.co/3S3O2pzwgs
[ 0.  0.  0.  0.  1.  0.  0.],[ 1.  0.  0.],13.26,0,477,Absolutely floored by how this went. Checked off all the boxes.
[ 0.  0.  0.  0.  1.  0.  0.],[ 1.  0.  0.],13.26,0,1474,I think I really got food poisoning from in n out.
[ 0.  0.  0.  0.  1.  0.  0.],[ 0.  0.  1.],10.86,0,1157,I'm feeling really cozy in my 🛏 now so I can get a #GoodnightSleep
[ 0.  0.  0.  0.  1.  0.  0.],[ 0.  0.  1.],19.505,0,1889,The Canadian national anthem is actually about a Goose standing guard for thee  https://t.co/2rF3si6a67
[ 0.  0.  0.  0.  1.  0.  0.],[ 0.  0.  1.],14.11,0,844,..........so they picked the wrong one https://t.co/JjlKBMMVXx
[ 0.  0.  0.  0.  1.  0.  0.],[ 0.  0.  1.],14.11,0,229,I feel like that disgrace Asian uncle right now.
[ 0.  0.  0.  0.  1.  0.  0.],[ 1.  0.  0.],13.26,0,424,me at work nowadays....ask anybody theyll agree with me https://t.co/wRtxOffSao
[ 0.  0.  0.  0.  1.  0.  0.],[ 0.  0.  1.],10.86,0,1632,I fucked her friend &amp; now she mad on some otha shit postin pictures of herself crying OL UGLY BITCH
[ 0.  0.  0.  0.  1.  0.  0.],[ 1.  0.  0.],13.26,0,183,"We're #hiring! Read about our latest #job opening here: Receptionist - https://t.co/9cuTYTZhFj #publishing #Clerical #SanFrancisco, CA"
[ 0.  0.  0.  0.  1.  0.  0.],[ 0.  0.  1.],14.11,0,8,People are getting straight up fired without due process
