DayOfWeek,Location,Temperature,#retweets,#followers,label
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],13.924999999999999,0,263,If u wash ur hair everyday u hate yourself
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],12.2,0,204,Another stupid fuckin prick https://t.co/Mc32cE5yId
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],12.2,0,844,She’s not old enough to play yet https://t.co/L1oryEq2KQ
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],12.2,0,94,"Kellyanne Conway violated the Hatch Act. Will she be charged? @realDonaldTrump since #henrykerner is you dog, I gue… https://t.co/22FLgEE7oz"
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],16.03,0,203,Miss vaping with li and aus
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],15.16,0,110,This is a sooc jpeg from my Fuji XPro2. I'm really starting to embrace these jpegs.  Fuji… https://t.co/eX1P94cbpH
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],15.16,0,210,Ever sit and feel all of your rollos bc 🙃
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],16.03,0,490,always https://t.co/Qqi9bxJGvX
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],15.16,0,508,Just thinking about Steven yeun
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],16.03,0,823,bought some from fashion nova since so many of you recommended them. thanks friends!!! 💕💕
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],16.455,0,637,@SamuelHulick Is this a modal?
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],14.63,0,479,"What does @porschedigital do? They focus on the ""internet of me"" @thilokos #ChurchillClub"
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],12.2,0,279,@TomSteyer Yes Tom.  Just completed “zero energy all electric Oakland home off grid” cost abit more but NO PG&amp;E!
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],16.03,0,183,I hate this tucking jake paul kid https://t.co/pxzRNMzCHv
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],15.16,0,346,Wanna dye my hair soooooo...
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],16.03,0,557,Anyone want my heart?? Please. https://t.co/cd8CRrsRzE
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],16.03,0,376,debatin whether or not i should even try to look good this week or just stay bummy🤕
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],15.16,0,543,Pretty sunset views of San Francisco + the bay while driving through the Presidio #sanfrancisco… https://t.co/AghRMxVqfW
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],16.03,0,455,For everyone who says “I hate the taste of a beer ” .. Have you even felt so thirsty you went for a cold shot ? Yeah me neither
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],15.16,0,409,you needa pay my parents
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],15.16,0,243,you can give me a cup noodle for christmas and i'll love it forever https://t.co/LPNXnZqk16
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],16.03,0,490,14 seconds tops https://t.co/mJESGaHI2j
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],16.455,0,6170,Lakers confuse me 😭
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],15.16,0,1647,4 really is an incredible album.
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],16.03,0,604,@_crystaalineee  Happy birthday!! 💖🎉🤘🏼 drink tf up this time 😂
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],15.16,0,254,#RedLightSpecial with these dream boats 😍 @coreymullee @alexjpitta 🕷🍻 @ Lucky 13 https://t.co/oeNdUKzvry
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],16.455,0,161,What fucking game are you playing?
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],15.16,0,609,The Ancient Magus’ Bride is by far my favorite new anime of 2017. Every episode is like watching a mini movie in te… https://t.co/c2AA8lfc5e
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],16.03,0,4206,"@DanRyckert Please come hang out with me and @timturi every day, OK? 🙃 https://t.co/VwEmmmrXUf"
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],12.2,0,221,#ousd is now trending in #Oakland  https://t.co/5NjHAJdIk6 https://t.co/f6BRhpNFpZ
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],16.03,0,359,I love horchata as much as the next guy but that eggnog fire too https://t.co/r4utepCLIW
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],12.2,0,8071,"@jamesmcelwee You're right, James. Walsh got angry at players who fought. Told them ""Just walk away."""
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],15.16,0,771,"@YarnHarlot Yes, thanks!  Get 20% Off ► KNIT STITCH PATTERN BOOK!  Code CYBERMONDAY (now thru 11/30) DOWNLOAD NOW: https://t.co/RoHurr4LIp"
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],15.16,0,1794,the HOLIDAY SHOP: VISEART PARISIAN EYE SET - includes any 2 Palettes &amp; 2 ESUM Eye Shadow Brushes… https://t.co/bNPx3pibf4
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],16.03,0,654,They’re doing trivia at the brewery I’m at and literally the only question I would’ve gotten right was hockey related😂
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],16.03,0,373,@kimburrlym We should have a “go to whole foods button” for every time we hear that and have it donate a $1 towards a store party .
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],15.16,0,2256,Port of San Francisco. #californialove #bayarealife #citylife #christmasinthecity @ The Port of… https://t.co/QRvtPLIsko
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],15.16,0,35,Me: I see you have your Burberry bag Lola: I prefer belly rubs and treats Me: Didn’t I just give… https://t.co/cuDmCcMm6O
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],16.03,0,747,"Physician, heal thyself"
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],16.455,0,6170,I hate when KCP take necessary shots
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],16.03,0,48,Nbd apparently. https://t.co/QYqjLDnnuL
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],16.03,0,359,The spurs need to try to flip lamarcus Aldridge into marc gasol
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],16.03,0,653,"Seriously, the hardest I’ve laughed in this joke of a year.....🤣🤣🤣😂😂😂😂🤣🤣🤣🤣😂😂 https://t.co/SV8b8Wc1z1"
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],15.16,0,15,TEST_LAT/LON: 4bf3f716-7be1-49df-9bb7-9ce75bc26f93
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],16.455,0,373,I rather be with a broke nigga that treat me right than “rich” nigga that do me dirty 👎🏽
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],12.2,0,624,@Jakeyd14 They deserve some slammer time haha
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],16.03,0,3246,I’m always in bed before 10pm now lol
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],12.2,0,16,@StephGrisham45 @WhiteHouse Stranger Things
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],15.16,0,2495,@tamarshmallows @kamilah But complimenting without the second part of disparaging the rest of my female cohort is o… https://t.co/uweomMF37J
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],15.16,0,2272,I just had the most awkward sighting of Travis Kalanick on MUNI. When he realized I recognized him he started to lo… https://t.co/DgzqVLULiU
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],16.455,0,6170,He should be MAD As HELL   He been Buns https://t.co/iN9JbAkmQF
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],15.16,0,111,"Want to work in #SanFrancisco, CA? View our latest opening: https://t.co/7X9BCpiHqR #RHLegalJobs #Clerical #Job #Jobs #Hiring"
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],12.2,0,947,"Seems to me tax cuts should work better in Kansas than US. Small open economy with pegged currency, unrestricted ca… https://t.co/U6mqXi6cnA"
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],12.2,0,1606,Do they claim black and have black in them ? They Black. You wanna know why? 1) because you can fucking see it 2) b… https://t.co/GOyRLngZgW
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],15.16,0,392,The Bay Knows https://t.co/YQob3xNbk4
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],15.16,0,2014,@zygotepariah 😁😁😁😁😁So cute. https://t.co/4U2pXEwX5L
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],15.16,0,2272,"I kept an eye on him as I got to the BART portals, and there he kind of went out of the station while trying to hide."
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],15.16,0,6513,@jaketapper @RVAwonk Somehow I think we'll find out
