DayOfWeek,Location,Temperature,#retweets,#followers,label
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,59,pretends to be shocked https://t.co/sTFYDd1c2D
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,1263,Like im just up
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],13.455,0,1756,I am currently wrapped in 4 blankets &amp; resemble the cutest burrito u could ever imagine
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,697,It breaks my heart to see him like this. 💔😭 https://t.co/7YFcY17ZKM
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],13.455,0,255,"I'm finishing the documentary 11/8/16 on Netflix right now, and well now I just feel disappointment and anger all o… https://t.co/1KntnIbWSD"
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],13.455,0,969,Time to buck up lol
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],13.455,0,496,1 2 3 here come Infamous Gee
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,206,@gabgar23 Im down for the latter
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,287,Majority rules :)) https://t.co/fSwWBlnYKD
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,576,Proof that girls rule the world! 💪🏻  #wonderwomen  #lovemyjob #workdoesntsuck #girlpower… https://t.co/G3bnPGTJxX
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,440,My current work situation has me paranoid af.
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,5726,Currently experiencing Empty LAX at Night. No one is here &amp; God is real.
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,287,"Right about now, I'm really missin all the jackets that I've lent out and never got back"
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,1554,Poor Hopper):
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,146,Dabbing some #cbd from amberindustries 📽by justlikeistoeone at thetacosesh… https://t.co/M4EQkGt85n
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,541,Just got that class is cancelled email😍❤️
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,1451,Lmao That Was a Good One @BridgetteWest Well Michael Don't Know What To Say But Haha @Lyricoldrap 😂😂😂 https://t.co/XW5ivvKK1s
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,297,Justice League comes out this week? What the fuck lol. I’ve been missing a lot then.
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,182,Head in the clouds ☁️   .  . #jetlife #skyhigh #flightattendant #fly #socal #love #life… https://t.co/2VRTSM14B9
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  0.  1.],13.455,0,497,Fighting my insecurities just as hard as my ego
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,1473,“Are you drunk?”  “Yes.” “Why?” “Because I drank.”  -Best Overheard Couple Convo 2017
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,804,Hey Hey Heyyyy; LMAO
[ 0.  0.  1.  0.  0.  0.  0.],[ 0.  1.  0.],24.295,0,1526,"@OffBeatVixen Lol stg 😂, I going through em like nothing"
