DayOfWeek,Location,Temperature,#retweets,#followers,label
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],16.16,0,46425,@kourge I’ll give you 10 dollars for it
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],16.16,0,2893,@holleratme this looks extremely cool
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],16.16,0,185,My wife is so lovely. #imherkorra #shesmyasami @ Perry's San Francisco https://t.co/2ymIHy1NVR
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],16.16,0,320,nothin like bein a lil basic at a pink af place!!!!!!! #wherearetheactualicecreampics #whoops #wehadicecream #dont… https://t.co/u7pinlDrew
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],15.37,0,409,This man is just so 😍😍😍
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],16.16,0,24718,"Got $10,000? KFC will sell you a creepy internet escape pod https://t.co/02aMCPM56p via @CNET"
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],16.16,0,3191,"@JoyAnnReid @_silversmith His over-the-top embellishment of ""that wonderful American tradition"" makes it cringe-wor… https://t.co/HsxPBWBJag"
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],16.16,0,5287,whoever convinced me it was a great idea to go to san fran alone til thursday imma sue you
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],16.16,0,4913,"I'm staying up on all the hottest 🔥 holiday trends, and you can, too! #HolidayIsHappening  https://t.co/o91ul130Wk"
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],18.455,0,2,For More Details Please Check ??  https://t.co/ZtPeuK4P74 https://t.co/as01HTpYc5
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],16.16,0,185,Just heard this dude yell “yo dumbass there’s a trash can right fuckin there” to some one who littered   not all he… https://t.co/KvmUh33wxm
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],16.16,0,2210,Went Painting with @kevinmlaughlin this morning in the mission. Tried to capture the morning light. Bernal Hill was… https://t.co/kqkShW7EeJ
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],16.16,0,46423,@kourge 10 dollars
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],18.455,0,316,@HockeyBabbler Sent!
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],16.16,0,593,@jessemrrw Need that crew neck.
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],18.455,0,372,I want to be as carefree as Lovelle grabbing carts with a giant ass candy cane.
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],16.16,0,796,"@sfmta_muni @sfbike This really sucks @sfmta_muni. There is a book store, a movie theater and lots of other busines… https://t.co/H3EbJGW1bn"
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],16.16,0,521,"We're #hiring! Click to apply: Executive Producer - Experiential - https://t.co/GP4eWjR7FF #BusinessMgmt #SF, CA #Job #Jobs #CareerArc"
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],15.37,0,40,"If you ain't adding shit, don't ask me shit #rhadiokhid #Hoodedpoetry #hoodedmedia #blackcloud9… https://t.co/6RjH4lXS9B"
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],18.455,0,1089,airports make me sad because I always see attractive people I know I’m never gonna see again
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],16.16,0,222,Prayer to the Muse. 🙏🏻🎭🖊💖 #odysseus #invocation #itsworking #writersofinstagram #writerslife @… https://t.co/fF158pTsSM
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],18.455,0,669,@schantellebacon I can 100% relate
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],16.16,0,635,Liverpool LOL
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],15.37,0,304,I️ never broke one promise 🤞🏾
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],16.16,0,3403,We hire Manatees @pandastartup https://t.co/0rC4wVnvc5
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],16.16,0,313,Raving with my coworkers is so much fun . I love you guys 😭😭❤❤
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],15.37,0,108,Cal super ass 😭😂😂😂
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],16.16,0,372,#chinatown residence #protesting #cannabis #shops #weed #marijuana #comical - I️ don’t know what… https://t.co/3UbKj7Khh5
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],18.455,0,646,Aww we made it Roommates😍🔥 @LexisJanelle @alondralee7 https://t.co/GsEsGuQUZ3
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],16.915,0,460,Liverpools defending makes me want to die.
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],20.485,0,356,"Want to work at Whole Foods Market? We're #hiring in #RedwoodCity, CA! Click for details: https://t.co/wYlft5g1PA… https://t.co/Oz3XDCmAVT"
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],10.870000000000001,0,592,"Want to work in #Newark, CA? View our latest opening: https://t.co/uzsTf1F28K #Engineering #Job #Jobs #Hiring… https://t.co/8MMFMq4tRH"
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],18.455,0,65,@GuffyNicola @AndyRichter Also assumes he actually believes what he is saying.
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],18.455,0,900,@oldmanalan_ @VibesOnAPlane honestly been loving it so far
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],16.16,0,1704,my favorite song is your laugh :p
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],16.16,0,268,outta all the new shits... @trippieredd fasho the new 🌊   fuck rest of y'all; except everything @ChefBoyz617 of course
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],18.455,0,669,@amynguyenfu Dis is why I dun go to school
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],20.485,0,213,I fucking love pomegranates 😍😛😛
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],16.16,0,1479,Fun turkey facts. I have questions about the second item. https://t.co/5PllzxasJQ
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],10.870000000000001,0,80,Called my rep @RoKhanna’s office to voice concern about #netneutrality today. His lovely staff picked up on the 1st… https://t.co/oJduyt18Nt
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],18.455,0,1430,"@SplatoonSwitch @Sora_gryphon If it means I can pay for a feature to auto-block accounts that post vertical tweets,… https://t.co/102VTtHfpX"
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],16.16,0,27,@taylorswift13 you know ..I’m gonna credit YOU with the beginning of calling out men for their abuse of power and u… https://t.co/a3r7ljJXyL
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],18.455,0,415,My family is so extra lmaooo https://t.co/f4UvToHzKR
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],16.16,0,902,"Adriana Gallardo, @otraletra is now trending in #SF  https://t.co/Rq1XkkT8P7 https://t.co/CuumutZwdS"
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],16.16,0,300,@MarlonCraftNY any east coast shows between 12/19 and 1/3?
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],16.16,0,141,@FoxNews @POTUS @GDouglasJones Add @realDonaldTrump to the list of people who think being a democrat is worse than molesting children.
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],19.255000000000003,0,204,OH COME ON https://t.co/So8xdruxLm
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],16.16,0,902,'pardon' is now trending in #SF  https://t.co/MiP2DV0fBo https://t.co/urr2Twm79m
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],15.37,0,366,NO ONE WANTS THIS PIVOT! https://t.co/vqMm1Mclhq
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],16.16,0,2045,Drinking Coke Zero lemon. Not bad.
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],15.41,0,640,@OrinKerr Looking for help from an attorney who critiqued another article of yours that one time? DMs open. #thatsmypitch #stickingtoit
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],18.455,0,1276,You still taking the L https://t.co/bnks7tgda4
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],18.455,0,1644,Too tired to even tweet. All you're getting is salty retweets and the occasional otter.
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],18.455,0,939,i think i braided my hair too tight cause my head starting to hurt lmaoo
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],16.16,0,195,THIS GUY KNOWS WASSUP https://t.co/C9UvTw8VIt
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],16.16,0,2045,LOL I stopped watching at 2-0. Wow. https://t.co/4kejIGSyMB
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],16.16,0,1025,Just posted a video @ Sutro Tower https://t.co/XLbmkLMs6q
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],15.37,0,304,I’m just human don’t judge me
[ 0.  1.  0.  0.  0.  0.  0.],[ 1.  0.  0.],16.16,0,458,"See our latest #SanFrancisco, CA #job and click to apply: Team Class A CDL Owner Operator, Truck Driver, Truckload… https://t.co/X5sEUHqz2B"
[ 0.  1.  0.  0.  0.  0.  0.],[ 0.  0.  1.],15.41,0,640,@TheEthernopian @HyperX Goalty OP
