DayOfWeek,Location,Temperature,#retweets,#followers,label
[ 0.  0.  0.  1.  0.  0.  0.],[ 1.  0.  0.],13.57,0,109,"Interested in a #job in #SanFrancisco, CA? This could be a great fit: https://t.co/SNmJvLixRD #hospice #Nursing #Hiring"
[ 0.  0.  0.  1.  0.  0.  0.],[ 0.  0.  1.],14.72,0,1662,The moonrocks have landed for Thanksgiving 🙏🏽🦃
[ 0.  0.  0.  1.  0.  0.  0.],[ 0.  0.  1.],16.98,0,783,"We're #hiring! Click to apply: Shipping Assistant - https://t.co/4tc86F0uR8 #SanJose, CA #Job #Jobs #CareerArc"
[ 0.  0.  0.  1.  0.  0.  0.],[ 0.  0.  1.],14.72,0,442,I submit!  Too early for jujitsu. Time to checkout these girls cooking skills. #gracioushost… https://t.co/MfgmyI3LoM
[ 0.  0.  0.  1.  0.  0.  0.],[ 1.  0.  0.],13.57,0,2671,Leaving the commodore   Headed to ur front door
[ 0.  0.  0.  1.  0.  0.  0.],[ 0.  0.  1.],14.72,0,4341,"Well at least python doesn’t support that in the language, but external libs are certainly supported and you can do… https://t.co/HBoJi4Engo"
[ 0.  0.  0.  1.  0.  0.  0.],[ 1.  0.  0.],13.57,0,280,"Thankful to be Home. Happy Thanksgiving, everyone! @ San Francisco, California https://t.co/5pUCbUY9zc"
[ 0.  0.  0.  1.  0.  0.  0.],[ 0.  0.  1.],13.57,0,37,#pecan wood #smoked #tritip at 140 internal temp resting and ready to be reheated once the… https://t.co/GQzzSWA9oN
[ 0.  0.  0.  1.  0.  0.  0.],[ 0.  0.  1.],14.72,0,300,Last night was one huge high school reunion
[ 0.  0.  0.  1.  0.  0.  0.],[ 1.  0.  0.],13.57,0,1466,Can you recommend anyone for this #job? Video Production Coordinator - https://t.co/8mAZI5Fl1z #Marketing… https://t.co/IrvRcBeq0t
[ 0.  0.  0.  1.  0.  0.  0.],[ 0.  0.  1.],16.98,0,752,Wondering if I’ll have to edit my two shorts myself this time around.
[ 0.  0.  0.  1.  0.  0.  0.],[ 1.  0.  0.],13.57,0,901,Dad-Manuel Miranda is my favorite form of Lin. https://t.co/Zqnsc3WLE0
[ 0.  0.  0.  1.  0.  0.  0.],[ 0.  0.  1.],14.72,0,725,"Thankful for all my loyal Friends, Family, And Fans ‼️💯 Unkonditional"
[ 0.  0.  0.  1.  0.  0.  0.],[ 0.  0.  1.],16.98,0,546,We won’t talk for months but I would still get a “happy thanksgiving” text from them.. to me that’s a real ass friend.
[ 0.  0.  0.  1.  0.  0.  0.],[ 1.  0.  0.],13.57,0,681,"This #job might be a great fit for you: Office Clerk - https://t.co/VgKuEmEQfj #Sales #SanFrancisco, CA #Hiring #CareerArc"
[ 0.  0.  0.  1.  0.  0.  0.],[ 1.  0.  0.],13.57,0,902,#thanksgivingday is now trending in #SF  https://t.co/hr02q8QDc0 https://t.co/Fe5idKsx0j
[ 0.  0.  0.  1.  0.  0.  0.],[ 1.  0.  0.],13.57,0,139,in my feelings today🌺🐝
[ 0.  0.  0.  1.  0.  0.  0.],[ 0.  0.  1.],11.145,0,437,"We're #hiring! Click to apply: Bilingual Store Counter Sales - https://t.co/7yukQIlamU #Newark, CA #Job #Jobs #CareerArc"
[ 0.  0.  0.  1.  0.  0.  0.],[ 0.  0.  1.],20.634999999999998,0,495,I should’ve got some ⛽️💨💨💨💨
[ 0.  0.  0.  1.  0.  0.  0.],[ 0.  0.  1.],16.98,0,501,"See our latest #SanJose, CA #job and click to apply: Project Administrator - https://t.co/Wypj1XogqU #Sales #Hiring #CareerArc"
[ 0.  0.  0.  1.  0.  0.  0.],[ 1.  0.  0.],13.57,0,267,"Interested in a #job in #SanFrancisco, CA? This could be a great fit: https://t.co/5DGuM6ov36 #ProductMgmt #Hiring #CareerArc"
